,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
50,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1.5,31.8,76,12.88,2.37,36.6,0.0832,401,245,0.83,8.65,121,2.04,Tsai,,
51,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1.5,31.7,83,12.79,2.35,36.5,0.081,402,235,0.92,17.01,383,4.01,Tsai,,
52,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,25,1.5,31.5,119,12.68,2.33,36.3,0.0795,402,228,0.99,33.64,1206,7.93,Tsai,,
53,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1.5,31.3,302,12.53,2.31,36.1,0.0778,402,217,1.08,50.21,2363,11.84,Tsai,,
54,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1.5,31.3,506,12.52,2.31,36.1,0.0765,402,213,1.14,66.59,3807,15.7,Tsai,,
55,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,2,0.6,32.5,15,13.47,2.36,37.2,0.0724,432,156,0.73,3.3,25,0.78,Tsai,,
56,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,0.6,32.7,16,13.62,2.36,37.4,0.0709,430,139,0.82,8.42,120,1.98,Tsai,,
57,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,0.6,32.9,17,13.78,2.37,37.6,0.0696,435,132,0.87,16.8,379,3.96,Tsai,,
58,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,0.6,33.3,24,14.05,2.38,37.9,0.0693,435,123,0.91,33.79,1210,7.97,Tsai,,
59,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1,30.5,36,11.82,2.26,35.4,0.1014,403,212,0.68,0.74,9,0.18,Tsai,,
60,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1,30.8,39,12.04,2.27,35.6,0.0983,403,187,0.82,1.64,35,0.39,Tsai,,
