,Unnamed: 0,Packing Type,Height,specific area,void fraction,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
22,794,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.6359583952451707,0.0,0.5699481865284975,,0.5721153846153846,0.5000000000000002,0.022970085470085486,0.5000000000000009,0.8842592592592595,0.12244897959183665,0.6138613861386137,,,,Wang,,
23,795,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.8172362555720653,0.0,0.5699481865284975,,0.5733173076923077,0.509090909090909,0.023237179487179488,0.5000000000000009,0.8842592592592595,0.09693877551020402,0.6633663366336633,,,,Wang,,
24,796,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.9985141158989596,0.0,0.5751295336787566,,0.5757211538461537,0.509090909090909,0.023237179487179488,0.5000000000000009,0.8842592592592595,0.07653061224489788,0.7029702970297029,,,,Wang,,
25,797,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.0,0.21276595744680843,0.6269430051813473,,0.6514423076923077,0.5636363636363637,0.025641025641025647,0.5000000000000009,0.6990740740740744,0.6224489795918365,0.3465346534653465,,,,Wang,,
26,798,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.09063893016344723,0.21276595744680843,0.6269430051813473,,0.6502403846153846,0.5636363636363637,0.025641025641025647,0.5000000000000009,0.6990740740740744,0.5561224489795918,0.4455445544554455,,,,Wang,,
27,799,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.2734026745913818,0.21276595744680843,0.61139896373057,,0.6346153846153846,0.5545454545454549,0.025106837606837615,0.5000000000000009,0.6990740740740744,0.48469387755102034,0.5742574257425741,,,,Wang,,
28,800,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.4546805349182763,0.21276595744680843,0.6062176165803109,,0.6225961538461537,0.5454545454545456,0.024839743589743585,0.5000000000000009,0.6990740740740744,0.4540816326530611,0.6336633663366336,,,,Wang,,
29,801,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.6359583952451707,0.21276595744680843,0.6010362694300521,,0.6141826923076923,0.5363636363636364,0.02457264957264957,0.5000000000000009,0.6990740740740744,0.4285714285714285,0.6831683168316831,,,,Wang,,
30,802,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.8172362555720653,0.21276595744680843,0.6010362694300521,,0.6165865384615383,0.5363636363636364,0.02457264957264957,0.5000000000000009,0.6990740740740744,0.3928571428571428,0.7524752475247525,,,,Wang,,
31,803,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.9985141158989596,0.21276595744680843,0.6062176165803109,,0.6213942307692308,0.5454545454545456,0.02457264957264957,0.5000000000000009,0.6990740740740744,0.36734693877551017,0.8019801980198018,,,,Wang,,
