,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
44,44,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.226315789,0.826086957,0.050995025,0.721518987,0.852272727,0.029292929,0.621257485,0.481346679,0.416666667,0.462184874,0.083276748,0.017871495,0.083333333,Tsai,,
45,45,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.226315789,0.826086957,0.058457711,0.719936709,0.852272727,0.029124579,0.604790419,0.444949955,0.403846154,0.487394958,0.166990009,0.057113139,0.167078189,Tsai,,
46,46,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.226315789,0.829710145,0.169154229,0.731012658,0.852272727,0.029461279,0.570359281,0.444949955,0.394230769,0.504201681,0.249878747,0.112335114,0.249794239,Tsai,,
47,47,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.226315789,0.844202899,0.482587065,0.752373418,0.856060606,0.02996633,0.54491018,0.454049136,0.365384615,0.571428571,0.333106994,0.181268025,0.333127572,Tsai,,
48,48,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.226315789,0.855072464,0.68159204,0.766613924,0.856060606,0.03047138,0.51497006,0.454049136,0.349358974,0.613445378,0.417450771,0.26348636,0.417489712,Tsai,,
49,49,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.489473684,0.865942029,0.082089552,0.787974684,0.859848485,0.030976431,0.482035928,0.363057325,0.705128205,0.277310924,0.020128043,0.001654768,0.020164609,Tsai,,
50,50,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.489473684,0.873188406,0.085820896,0.801424051,0.863636364,0.031313131,0.449101796,0.363057325,0.657051282,0.361344538,0.041323116,0.005626212,0.041358025,Tsai,,
51,51,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.489473684,0.869565217,0.094527363,0.794303797,0.856060606,0.031144781,0.416167665,0.372156506,0.625,0.43697479,0.08187021,0.018013333,0.081893004,Tsai,,
52,52,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.329639889,0.489473684,0.862318841,0.139303483,0.785601266,0.848484848,0.030808081,0.393712575,0.372156506,0.602564103,0.495798319,0.162527888,0.056924023,0.16255144,Tsai,,
53,53,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.489473684,0.855072464,0.366915423,0.773734177,0.840909091,0.03047138,0.368263473,0.372156506,0.567307692,0.571428571,0.242894558,0.111625928,0.243004115,Tsai,,
