,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
52,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,25.0,1.5,31.5,119.0,12.68,2.33,36.3,0.0795,402.0,228.0,0.99,33.64,1206.0,7.93,Tsai,,
53,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.5,31.3,302.0,12.53,2.31,36.1,0.0778,402.0,217.0,1.08,50.21,2363.0,11.84,Tsai,,
54,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.5,31.3,506.0,12.52,2.31,36.1,0.0765,402.0,213.0,1.14,66.59,3807.0,15.7,Tsai,,
55,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,2.0,0.6,32.5,15.0,13.47,2.36,37.2,0.0724,432.0,156.0,0.73,3.3,25.0,0.78,Tsai,,
56,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,0.6,32.7,16.0,13.62,2.36,37.4,0.0709,430.0,139.0,0.82,8.42,120.0,1.98,Tsai,,
57,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,0.6,32.9,17.0,13.78,2.37,37.6,0.0696,435.0,132.0,0.87,16.8,379.0,3.96,Tsai,,
58,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,0.6,33.3,24.0,14.05,2.38,37.9,0.0693,435.0,123.0,0.91,33.79,1210.0,7.97,Tsai,,
59,M250Y,3.1,Config 3,Intermediate visc,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.0,30.5,36.0,11.82,2.26,35.4,0.1014,403.0,212.0,0.68,0.74,9.0,0.18,Tsai,,
60,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.0,30.8,39.0,12.04,2.27,35.6,0.0983,403.0,187.0,0.82,1.64,35.0,0.39,Tsai,,
61,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.0,30.6,42.0,11.9,2.25,35.4,0.0975,403.0,180.0,0.87,3.37,121.0,0.8,Tsai,,
62,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.0,30.6,43.0,11.91,2.24,35.4,0.0965,404.0,175.0,0.91,4.97,234.0,1.17,Tsai,,
