,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
10,10,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.3157894736842105,0.25,0.054347826086956486,0.06467661691542288,0.024525316455696222,0.4545454545454546,0.0016835016835016862,0.5838323353293415,0.41765241128298447,0.6217948717948718,0.522064946033996,0.11000097002619069,0.021039194364332655,0.11008230452674897,Tsai,,
11,11,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.49584487534626037,0.25,0.050724637681159424,0.15422885572139305,0.022151898734177194,0.4507575757575758,0.0015151515151515145,0.5763473053892216,0.4085532302092809,0.6025641025641025,0.5510307068804203,0.16432243670579105,0.041274644224859346,0.16440329218106997,Tsai,,
12,12,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.6620498614958449,0.25,0.047101449275362306,0.40671641791044777,0.020569620253164556,0.446969696969697,0.0013468013468013497,0.5628742514970062,0.4085532302092809,0.5833333333333334,0.5944793481500572,0.21835289552817927,0.06666351472743605,0.2183127572016461,Tsai,,
13,13,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.8282548476454293,0.25,0.039855072463768126,0.48880597014925375,0.017405063291139278,0.44318181818181823,0.001178451178451178,0.5434131736526946,0.4085532302092809,0.5641025641025641,0.6306865492080878,0.2709768163740421,0.09616566592596094,0.27098765432098765,Tsai,,
14,14,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.024930747922437674,0.15,0.02173913043478265,0.011194029850746268,0.009493670886075972,0.43560606060606055,0.0006734006734006731,0.5269461077844313,0.4085532302092809,0.5352564102564102,0.36275326137866126,0.011106799883596856,0.0004255117961325705,0.01111111111111111,Tsai,,
15,15,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.14958448753462603,0.15,0.018115942028985477,0.013681592039800993,0.008702531645569611,0.43560606060606055,0.0006734006734006731,0.5104790419161678,0.3994540491355778,0.46474358974358976,0.4568919841295408,0.053351440488893204,0.006477235118906908,0.05329218106995885,Tsai,,
16,16,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.3157894736842105,0.15,0.007246376811594235,0.01990049751243781,0.003955696202531639,0.43181818181818177,0.00033670033670033656,0.5074850299401199,0.3994540491355778,0.423076923076923,0.5148235058223898,0.10655737704918034,0.02080279892203678,0.10658436213991769,Tsai,,
17,17,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.49584487534626037,0.15,0.003623188405797062,0.04477611940298507,0.0015822784810126667,0.428030303030303,0.00016835016835017175,0.49700598802395235,0.3994540491355778,0.4198717948717948,0.5148235058223898,0.1595208070617907,0.04089641151718595,0.1594650205761317,Tsai,,
18,18,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.6620498614958449,0.15,0.0,0.2164179104477612,0.0,0.4242424242424242,0.0,0.48203592814371277,0.3994540491355778,0.40384615384615385,0.5655135873036327,0.21185372005044137,0.06595432840054843,0.21193415637860083,Tsai,,
19,19,M250Y,0.558139534883721,0.4170403587443946,45.0,0.16,0.024,0.011,242.4242,,242424.24,0.8282548476454293,0.15,0.0,0.35447761194029853,0.0,0.4242424242424242,0.0,0.45508982035928147,0.3994540491355778,0.39102564102564097,0.587237907938451,0.26389562518187987,0.09555103777599168,0.2637860082304527,Tsai,,
